ad_id,ad_group_name,impressions,clicks,conversions,cost,Keywords
578243463320,Computer clean up-PH,1017.0,77.0,4.0,323627265.0,"Computer clean up-PH,system repair software,speed up my computer,how to make my computer faster, ccleaner download"
648784694598,Pc Kostenlos,562.0,66.0,4.0,79502640.0,"pc aufräumen kostenlos vollversion,Pc Kostenlos,pc doktor kostenlos, tuneup vollversion kostenlos,pc optimizer kostenlos"
301405467011,Ccleaner Gratuit - PH,1950.0,122.0,4.0,137102489.0," ccleaner gratuit,Ccleaner Gratuit - PH"
621880941558,Pc cleaner,697.0,89.0,4.0,102303636.0,"pc cleaner 評価, pc cleaner,Pc cleaner"
497791521533,Clean My Computer-PH,2703.0,295.0,3.769539,1054245902.0,"Clean My Computer-PH, clean my computer free,clean my computer"
620171260540,Nettoyer Disque Dur - PH,1108.0,117.0,3.666667,140838669.0,"nettoyage pc windows, nettoyage du disque dur gratuit,Nettoyer Disque Dur - PH"
499117596890,CCleaner,598.0,58.0,3.539784,159650919.0,"software cleaner, ccleaner,CCleaner"
631074057056,Computer Freeze /  Lag,1375.0,36.0,3.5,106186812.0,"computer freeze causes,Computer Freeze /  Lag, computer help,computer freezes randomly,computer lagging"
468176118602,Limpiar PC - Broad,4547.0,492.0,3.5,208209657.0,"Limpiar PC - Broad, limpieza de pc gratis,limpiador de computadora gratis"
631180705359,Optimize PC,813.0,35.0,3.5,122770714.0,"Optimize PC,optimize pc,free pc performance optimizer, windows optimizer"
421024359742,Computer Diagnostic,1042.0,171.0,3.5,497295932.0,"free computer scan, pc health check,Computer Diagnostic"
638656754558,Limpiar PC - Broad,6168.0,438.0,3.42887,137794230.0," limpiar el ordenador,Limpiar PC - Broad,limpiador de pc online,cleaner para pc,limpiar pc windows 10,limpiador pc gratis windows 10"
429258920546,Registry Cleaner,656.0,35.0,3.337382,155348286.0," registery cleaner,Registry Cleaner,windows registry"
497791521764,Fix Computer,1475.0,51.0,3.207548,191679729.0,"Fix Computer, fix your computer,how to fix a slow running laptop,pc system fix,how to fix a slow computer windows 10"
631240435150,Check Computer,990.0,78.0,3.0,223491953.0,"Check Computer,check my computer speed,check my pc performance, check your computer speed"
648784694298,Ccleaner,2854.0,134.0,3.0,180879357.0,"Ccleaner, Ccleaner"
641040034233,Pulizia PC,1110.0,99.0,3.0,86843205.0,"Pulizia PC, pulizia pc,pulire il pc"
463233416785,SpeedUpMyPC,528.0,43.0,3.0,59869497.0," pc スピードアップ 方法,SpeedUpMyPC,コンピューター 高速化"
593838806393,Cleaner Kostenlos - PH,902.0,70.0,3.0,79885391.0," cc cleaner deutsch kostenlos,Cleaner Kostenlos - PH,cleanup kostenlos"
302579823280,Limpia PC,553.0,41.0,3.0,32253296.0,"Limpia PC, limpia pc gratis"
593838806603,Pc Kostenlos,229.0,9.0,3.0,13541087.0,"Pc Kostenlos, schutz für pc kostenlos,computer wartung,pc optimieren"
497791521761,How Speed Up Computer - PH,562.0,42.0,3.0,109509848.0,"How Speed Up Computer - PH, how to boost internet speed,how to defrag my computer,how to speed up your internet for free"
499117597094,Clean My Computer-PH,178.0,13.0,3.0,54490000.0,"Clean My Computer-PH,free computer cleaning software,how to clean my computer, clean my computer free"
641096919100,Schoonmaak,419.0,45.0,3.0,43388169.0,"pc optimaliseren,Schoonmaak, pc opkuisen,pc optimaliseren gratis"
499117596716,C cleaner.com-EX,117.0,16.0,2.789755,43090000.0," c cleaner com,C cleaner.com-EX"
468176118443,Limpiar PC - Mi PC,1329.0,55.0,2.752948,24763478.0,"Limpiar PC - Mi PC,limpiar mi pc, liberar espacio disco,como limpiar espacio en mi pc"
301405466873,C Cleaner Gratuit - PH,956.0,126.0,2.5,118943860.0,"C Cleaner Gratuit - PH, c cleaner gratuit"
594393826469,Nettoyage PC - Logiciel - EX,487.0,13.0,2.5,11292783.0,"nettoyeur pc gratuit windows 10, logiciel pour ordinateur,Nettoyage PC - Logiciel - EX"
271597733982,Clean My PC-PH,1099.0,82.0,2.5,28264073.0," clean my pc com,clean computer space,Clean My PC-PH"
620171260516,PC Cleaner - PH - PRIME,248.0,65.0,2.5,134717464.0,"PC Cleaner - PH - PRIME, pc cleaner"
593838806537,Cleaner Software - EX,1361.0,117.0,2.333334,189591212.0,"Cleaner Software - EX, cleaner software"
621880941591,SpeedUpMyPC,630.0,20.0,2.236997,17983764.0,"pc 高速化 ソフト, パソコン 高速化,SpeedUpMyPC,pc 高速化 フリーソフト"
499343628693,Langsom Computer V2,49.0,11.0,2.211576,17674107.0,"Langsom Computer V2,windows 10 langsom, windows 10 langsom opstart"
468176118479,Limpiar PC - Broad,1392.0,171.0,2.181818,53923463.0," antivirus y limpiador para pc,Limpiar PC - Broad,cleaner para pc,limpiador de pc online"
648784812162,PC Cleaner - BR,256.0,27.0,2.0,60317213.0," pc cleaner,PC Cleaner - BR"
428472207086,Ordinateur Qui Rame,251.0,16.0,2.0,20996342.0," booster mon pc,Ordinateur Qui Rame"
499343628633,Langsom PC V2,141.0,15.0,2.0,28932709.0,"optimering af pc, rensning af pc,Langsom PC V2"
271597733745,Ccleaner-EX,1176.0,201.0,2.0,58630295.0," ccleaner,Ccleaner-EX"
427429584463,SpeedUpMyPC - COMP,222.0,6.0,2.0,10920000.0," make my pc run faster,speed up my computer windows 10,SpeedUpMyPC - COMP"
641096919103,Computer Sneller Maken,131.0,15.0,2.0,20253236.0,"Computer Sneller Maken,computer opschonen en sneller maken, computer opruimen sneller maken"
421063231154,Windows 10 - MOD BROAD,144.0,5.0,2.0,10720000.0," defragment and optimize drives,Windows 10 - MOD BROAD"
535453173326,Clean My Computer-PH,2030.0,124.0,2.0,266968289.0,"Clean My Computer-PH, clean my computer"
421024438927,Clean Computer-EX,518.0,41.0,2.0,102160000.0," clean computer,Clean Computer-EX,computer cleaners"
499343628684,Langsom Computer V2,159.0,26.0,2.0,44697026.0,"Langsom Computer V2,windows 10 langsom, windows 10 langsom opstart"
623633436181,CCleaner,264.0,59.0,2.0,44180000.0," ccleaner,CCleaner"
448331549038,Tietokoneen Puhdistus,129.0,19.0,2.0,21310000.0,"Tietokoneen Puhdistus, tietokoneen puhdistusohjelma"
499117596920,Pc cleaner-EX - PRIME,118.0,14.0,2.0,51461793.0,"Pc cleaner-EX - PRIME, pccleaner"
535327830420,Computer clean up-PH,309.0,17.0,2.0,34606875.0,"Computer clean up-PH,slow computer help, clean up my computer"
302579823532,Optimizar PC,1506.0,63.0,2.0,48934392.0,"Optimizar PC, como optimizar el pc,optimizar pc"
250583296965,Cleaner Broad-BR,39.0,5.0,2.0,2040000.0,"duplicate cleaner free,Cleaner Broad-BR, regcleaner windows 10"
641096367250,Optimera Datorn - rensar,97.0,16.0,2.0,22039456.0,"Optimera Datorn - rensar, rensa datorn"
497791521569,Reimage,459.0,45.0,2.0,168999783.0," reimage,reimage repair tool,Reimage"
499117597115,Cache Cleaner -VARIOUS,447.0,29.0,2.0,57693469.0," cache cleaner,Cache Cleaner -VARIOUS"
497791521557,PC Tune Up,90.0,10.0,2.0,41958470.0,"PC Tune Up,pc tuneup pro reviews, pc tuneup pro"
